"report-file-0"
"Iteration" "drag etc.."
("Iteration" "drag" "lift")
1 0.7912024040067259 0.08987500449290012
2 0.8499158661040693 -0.1390798884007469
3 0.9036043580101112 -0.4496438241963032
4 0.951993946107521 -0.7805283599177546
5 1.002328091874965 -1.096976254610773
6 1.047102396734012 -1.379175014482162
7 1.085340419790394 -1.618664713851114
8 1.117584298272148 -1.812725336553022
9 1.140894506046347 -1.961222186936983
10 1.154370899952822 -2.068865856607318
11 1.156588517326149 -2.138753787224569
12 1.147580330604306 -2.175735984458126
13 1.128338609701046 -2.185415985384206
14 1.100033736934088 -2.172776275289585
15 1.063910071027806 -2.142194812829586
16 1.02149929502091 -2.097985658021059
17 0.9741039071195045 -2.043610401203456
18 0.9230644723691492 -1.982160258254499
19 0.8694901685517102 -1.915971093124297
20 0.8143308475645905 -1.846814804773709
21 0.7584654125134454 -1.775911910299125
22 0.7026638467889506 -1.704387209967871
23 0.6474647106498653 -1.632768032401927
24 0.5932555836623942 -1.561241543908294
25 0.542185953340273 -1.494918724636905
26 0.4910466171907774 -1.423886001925936
27 0.4431614703063231 -1.356858806233723
28 0.3960933879873486 -1.286875669521039
29 0.3512262025879822 -1.217112632862553
30 0.3086623616990215 -1.14743823244718
31 0.2684142410691974 -1.077634486987405
32 0.2305094909742916 -1.007655668408839
33 0.1949454046053003 -0.9374204178104475
34 0.1617074457810107 -0.8669378258956552
35 0.1307451717377138 -0.7962505675525695
36 0.1019345422484731 -0.725324067234336
37 0.07520214008535711 -0.6542438739164499
38 0.05034702594617709 -0.5829991663481052
39 0.02734805012587123 -0.5120084910367603
40 0.006618920736154654 -0.4453512973736211
41 -0.01261675078514388 -0.3789249086062226
42 -0.03046944492539864 -0.3129354210564178
43 -0.04704408903466779 -0.2476575030377274
44 -0.06242274302711152 -0.1832986065374848
45 -0.07662392118268749 -0.1203373349717585
46 -0.08973826370282712 -0.05910309048148516
47 -0.1018717249213909 0.0002212666332282553
48 -0.1130422963758429 0.05724139569657868
49 -0.1232645259089762 0.1115746249339665
50 -0.1326287547417563 0.1630307645554935
51 -0.1410870946898397 0.2112870071057279
52 -0.1486544762323398 0.2559891654944811
53 -0.1553577333973339 0.2969877132211194
54 -0.1611304994499715 0.3338959633686601
55 -0.1659538064368527 0.3665722007621988
