"report-file-0"
"Iteration" "drag_NACA0012_AOA-18_journal etc.."
("Iteration" "drag_NACA0012_AOA-18_journal" "lift_NACA0012_AOA-18_journal")
1 2.414337467200115 -3.563143056050046
2 3.147678766413161 -5.338621079478381
3 3.737635175820072 -6.788977689583638
4 4.085102629584243 -7.746252076760329
5 4.270551105068862 -8.355269983180572
6 4.3455777061718 -8.703879277074966
7 4.321210890256978 -8.814107206399731
8 4.168088441164979 -8.619682018723466
9 3.831667540539149 -8.025791714868543
10 3.611051630877261 -7.676280187559831
11 3.321458979478017 -7.195953732536076
12 3.053900035612512 -6.752262035179939
13 2.836147357838603 -6.396620977842304
14 2.66525269558119 -6.122239952556242
15 2.531455470199578 -5.912349728791186
16 2.416274553472465 -5.737843241267382
17 2.301930361805262 -5.564877227084626
18 2.185093550138404 -5.383843866821647
19 2.06257532083361 -5.184007909404562
20 1.933719696079441 -4.962243572447112
21 1.799415788297663 -4.719485784890013
22 1.66241636013747 -4.462233058309812
23 1.526437526397572 -4.198277248112313
24 1.393694067050823 -3.933708139403216
25 1.266104558910072 -3.672254420453487
26 1.143546713143685 -3.414089625200109
27 1.026206733764842 -3.159737324284053
28 0.9139599013363348 -2.909234810845153
29 0.8073655361046493 -2.665018424453885
30 0.7062824769855827 -2.427087968349689
31 0.6111376149716831 -2.197549589349514
32 0.5215641831015269 -1.976076767535128
33 0.4373817925190636 -1.762522406005741
34 0.3586147561142966 -1.557577783080599
35 0.2855659130501691 -1.363075734963509
36 0.2180832673406222 -1.179003970597093
37 0.1561798018146438 -1.005720200294337
38 0.09970479463411917 -0.8435009227416324
39 0.04827572378669947 -0.6917527443264138
40 0.001805014317502548 -0.5505580456276152
41 -0.03986805226602752 -0.4198268943296077
42 -0.07706931732971147 -0.2988127322816267
43 -0.1100206624614891 -0.1871078695639928
44 -0.1388002723062872 -0.08485394757261934
45 -0.1640021960961146 0.009273817120879211
46 -0.1860015876031362 0.09598646716633938
47 -0.2049101791165668 0.1753429699544404
48 -0.2212376753961756 0.2486084809072687
49 -0.2352417692936757 0.3162837294490103
50 -0.247166140072711 0.3788011416238762
51 -0.2572991732834772 0.4368364133655568
52 -0.2658926168099911 0.4909079748773478
53 -0.2731426148660073 0.5414323479883023
54 -0.2802179523632453 0.5906899058908908
55 -0.2849869299956092 0.6342491626367175
56 -0.2898162135207999 0.6770242864265818
57 -0.2934773243323981 0.7163510112046055
58 -0.2961557950909923 0.7524015575584806
59 -0.2979525288526326 0.7853445315092597
60 -0.2988946705169202 0.8150971433048182
61 -0.2989316622738238 0.8414319796503428
62 -0.2980724004407309 0.8642022430161974
63 -0.296346785048848 0.8833591990105113
64 -0.2937080144624942 0.898630659815448
65 -0.2901476922187559 0.9098562584115273
66 -0.285624454829618 0.9167746233807628
67 -0.2801396787492149 0.9192575872073229
68 -0.2738140822080769 0.9174360680950392
69 -0.2664444685232521 0.9106753260567068
70 -0.2580100185096534 0.8989648766220804
71 -0.2484555569378582 0.8820736991961653
72 -0.2378244953057198 0.8600313500885288
73 -0.2261085904570165 0.8327704838002586
74 -0.2133293494780042 0.8003454583670665
75 -0.1994888643799638 0.7627540124455962
76 -0.1846050438469818 0.7200701475649176
77 -0.1687365803881281 0.6724662705239046
78 -0.1519435648004473 0.6201695834655508
79 -0.1342215379818411 0.5631796350342437
80 -0.1156307509096997 0.5017531505595047
81 -0.0962670977329058 0.4362155411903269
82 -0.07622624681357121 0.3668811992555156
83 -0.05557852657295166 0.2940584166935457
84 -0.03442712135758859 0.2180685607387457
85 -0.01286540740407456 0.1393123030810378
86 0.009017360187959934 0.05813022701122126
87 0.03114081589459232 -0.02505850098323782
88 0.05332228396915453 -0.1097535858406264
89 0.07552270679141064 -0.1956908843214465
90 0.09774484367553568 -0.2827416840609816
91 0.1198028085787362 -0.3702742839318746
92 0.1416641074904789 -0.4579508582366632
93 0.1631554935783344 -0.5451794291404608
94 0.1840790441860701 -0.631343553480602
95 0.2044435172845124 -0.7162225707706705
96 0.2241800725886276 -0.799417405617971
97 0.2432387015881027 -0.8806522758410329
98 0.2615443996216134 -0.9595134824115286
99 0.2790477497006977 -1.03568640374373
100 0.2957068643467391 -1.108877428183034
101 0.3113937103137985 -1.178617078386018
102 0.3261856050516417 -1.244888536931413
103 0.3400661083010396 -1.307489831400672
104 0.3529840303009573 -1.366128432478633
105 0.3649807550207841 -1.420802370907679
106 0.3760615588689829 -1.471410436701014
107 0.3862326526253061 -1.517864480987756
108 0.3954998519144787 -1.560101502190224
109 0.4038845590630347 -1.598064718427403
110 0.4113827821585761 -1.631784404162713
111 0.4179767218176012 -1.661215455694785
112 0.4237096838343388 -1.686452244060264
113 0.4285884191374182 -1.707540978036712
114 0.4326063157816832 -1.724515163468194
115 0.4358069832295159 -1.737556681718183
116 0.4381638512302093 -1.746673355364732
117 0.4397152406524072 -1.752024089753266
118 0.440438313767448 -1.753646929443731
119 0.4403290580314821 -1.751666658951717
120 0.4394046347867281 -1.746224024709337
121 0.4376590364729291 -1.737449075199235
122 0.4351149546394783 -1.725548369801512
123 0.431755537911113 -1.710572175194253
124 0.4276042808864451 -1.692735101328452
125 0.422655415419495 -1.672126427252312
126 0.4169366933026786 -1.648941706210646
127 0.4104638017542392 -1.623348174775323
128 0.4032720523094212 -1.595538968475277
129 0.3953754320636141 -1.565660117589356
130 0.3867904567298279 -1.533839898701022
131 0.3775478675161554 -1.500249220111278
132 0.3677382598205843 -1.465153656838007
133 0.3573289832792602 -1.428591506091412
134 0.3463748161204682 -1.390772927325941
135 0.3349184326614345 -1.351864303119883
136 0.3229755356801465 -1.312004837104178
137 0.3106304038294405 -1.271383355383077
138 0.2979343236017312 -1.230153670420453
139 0.2849283958226712 -1.188493794683723
140 0.2716280880605834 -1.146506969302551
141 0.2581308281513267 -1.104423651338439
142 0.2444966966242187 -1.062415148691751
143 0.2307913046990487 -1.02062868037966
144 0.2170584418015553 -0.979225314081276
145 0.2033606398123098 -0.9383630894158177
146 0.189743869725601 -0.8981679968078634
147 0.1762628947525718 -0.8587714168096178
148 0.1629672864363621 -0.8203044050388633
149 0.1498865237337887 -0.7828538449835704
150 0.1370924992876682 -0.7465692017527067
151 0.1246544001733319 -0.7116206160272882
152 0.112592033284191 -0.678043448953817
