"report-file-0"
"Iteration" "drag_NACA0012_AOA8_journal etc.."
("Iteration" "drag_NACA0012_AOA8_journal" "lift_NACA0012_AOA8_journal")
1 1.491522646160848 1.668669911598545
2 1.768676727072922 2.527829927141219
3 1.968357116652767 3.182822641409925
4 2.051044901712665 3.600869031599964
5 2.062978590949455 3.845255651226114
6 2.022462802891073 3.944357263061472
7 1.936007391041794 3.916796694742796
8 1.808563439125925 3.767826088317266
9 1.649739299609291 3.547964861215868
10 1.483968331528647 3.319984038536695
11 1.332016145586866 3.116836482338202
12 1.221268408441781 2.990366221161516
13 1.117213658594624 2.871543666746319
14 1.028288073834749 2.770216887216946
15 0.9525888510276994 2.681373472874117
16 0.8828351433204071 2.595873686309348
17 0.8148488611007398 2.506138646889808
18 0.7483543460616834 2.409699041336051
19 0.6842058772332202 2.308859406491878
20 0.6225655097268336 2.204491792365054
21 0.5629144993674216 2.097192567883413
22 0.5062178954193937 1.989196563812011
23 0.4520137491390772 1.880137541046902
24 0.4002160617707475 1.770539969142438
25 0.3510794210589324 1.660897791089669
26 0.3047803330296405 1.552107012170862
27 0.2614840138919112 1.444848039449541
28 0.220996545094332 1.338663047158811
29 0.1832849760183183 1.233935636582045
30 0.1481634683877209 1.13079547098174
31 0.1156241735062822 1.029277023002991
32 0.08559546169372817 0.9296063717953098
33 0.05803895750165219 0.8322281099641584
34 0.03297828963639295 0.7375127654910504
35 0.01031416178139419 0.6455473866242826
36 -0.009807636450064411 0.5574671591548603
37 -0.02795468367896817 0.4749586049040871
38 -0.04341189335517577 0.3937040296509182
39 -0.05660752411974622 0.3165040889761738
40 -0.06779698714717615 0.2465927982228552
41 -0.07654428096317771 0.1778500074743659
42 -0.08341288563938673 0.1169043823445727
43 -0.08820223056283455 0.05638059123368874
44 -0.09146225531406599 0.003313884607353218
45 -0.09302611867200153 -0.04586826153037323
46 -0.09308947710796617 -0.09130175201298676
47 -0.09181936420786101 -0.1334194166018625
48 -0.08938802435956311 -0.1724166916065963
49 -0.08595650018426844 -0.2086086661088352
50 -0.08165748949542027 -0.2417445784394026
51 -0.07667338453241597 -0.2722439285415426
52 -0.07117054553428445 -0.300369781657209
53 -0.06530403579011633 -0.326300297345853
54 -0.05920524474526862 -0.350151699702135
55 -0.05300001494925743 -0.3720213484128713
56 -0.04680326574352227 -0.3919986360705569
57 -0.0407423292328699 -0.4101771813390439
58 -0.03488484173649596 -0.4265409932501731
59 -0.02936611249127881 -0.4412668771660486
60 -0.0241937209954996 -0.4543468253055382
61 -0.01935444948876699 -0.4656878317345471
62 -0.01490790417873638 -0.4749649199853582
63 -0.01081198315248166 -0.4819550961445056
64 -0.007141668992026731 -0.4869097246941589
65 -0.003831809416994075 -0.4894053012529007
66 -0.0009833100845888594 -0.4900079289342032
67 0.001427384850638841 -0.4884768232621528
68 0.003541296165952741 -0.4843405999189557
69 0.005344314329246214 -0.4776989079713019
70 0.006877627011957148 -0.4685066596584617
71 0.008190916344249045 -0.4566859903614461
72 0.009335938080002956 -0.4421721639430494
73 0.01036087282373666 -0.4250234703549706
74 0.01130849333185263 -0.4052234051998926
75 0.01224262828943159 -0.3827048599873097
76 0.01318565325006077 -0.3576669974379044
77 0.01417480011585383 -0.3301638897504311
78 0.0152492799225494 -0.3002818506714586
79 0.01644197656906358 -0.2681378121564618
80 0.01778089869713813 -0.2338640956640482
81 0.01929362166725073 -0.1975891963675138
82 0.02099531035903298 -0.159550453347775
83 0.02289440769258497 -0.119890771722513
84 0.02501446687068525 -0.07874966890719447
85 0.02735821711673437 -0.03632399754633457
86 0.02995277955188718 0.007280293022082286
87 0.03277321035029633 0.0517664476695414
88 0.03577636237121298 0.09681422717288549
89 0.03898084652602935 0.1422827065383784
90 0.04237190284288724 0.1879628434009326
91 0.04593143209735814 0.2335903197641963
92 0.04964171450144251 0.2789835609847995
93 0.05348144243128886 0.3239346832046722
94 0.05742596845682798 0.3682684930973423
95 0.0614533438359978 0.4117585911935818
96 0.06553927430405465 0.4542179030592612
97 0.06965258929062373 0.4954716071494429
98 0.07372999880059179 0.5351896115563534
99 0.07779056586435199 0.5733756618997395
100 0.08180183342460033 0.6098687422963787
101 0.08576618391538604 0.644675935641982
102 0.08963380628949635 0.6775900928518344
103 0.09342172083263151 0.7086595267379295
104 0.09705729939779387 0.7376273201341504
105 0.1004713850954997 0.7642580178002589
106 0.1036908659026547 0.7886593813047201
107 0.1066741977206628 0.8107131449692949
108 0.1094360114319343 0.8305197433859329
109 0.111956662892114 0.8480416370350017
110 0.1142220119174067 0.8632732011644957
111 0.1162167009044265 0.8762207150085262
112 0.1179321138660306 0.8869171868641063
113 0.1193580164782419 0.895389788261069
114 0.1204873253642338 0.9016821408435931
115 0.1213151658548057 0.9058680675140377
116 0.1218366251391391 0.9079688463789928
117 0.1220487316562276 0.9080500213333649
118 0.1219514303777727 0.9061786122001007
119 0.1215457622434502 0.9024331730670834
120 0.1208340637093983 0.8968901899070639
121 0.1198199417440025 0.8896350275926684
122 0.1185079252954064 0.8807353447131924
123 0.1169065089570602 0.8703035914587644
124 0.115025190892654 0.8584441214941282
125 0.1128742335460025 0.8452334461572624
126 0.1104673282314596 0.830771119176926
127 0.1078154663884099 0.8151389369503961
128 0.1049275161136534 0.7984108678044178
129 0.1018241789175467 0.7807008435105446
130 0.09852281500733733 0.76210241813842
131 0.09504222127424093 0.7427110303329277
132 0.09140157455326105 0.7226191693322525
133 0.08761831917607689 0.7019010580298943
134 0.08371908298327525 0.6806519506073017
135 0.07972587637887763 0.6589775540243019
136 0.07566193637740705 0.6369712358093886
137 0.07154992984500036 0.6147053812288974
138 0.06741333990855694 0.5922790493960355
139 0.06327470082188394 0.569771353478458
140 0.05915630911099268 0.5472639309749696
141 0.05507900586019993 0.5248340262980645
142 0.05106356872866281 0.5025515837771372
143 0.04712927134431981 0.4804959254683281
144 0.04329603176165277 0.4587241571367424
145 0.0395804104311254 0.4372961539715654
146 0.03599682146750526 0.41632522732919
147 0.03255995181048466 0.3958170357172504
148 0.02929265492069903 0.3758609154306689
149 0.02619607953851744 0.3564578417794856
150 0.02327997896905648 0.3376570351608503
151 0.02055300619452707 0.3195000127832167
152 0.01802157160620831 0.3020282794334935
153 0.01569005793866968 0.2852789365851727
154 0.01356255341146299 0.2692887764436975
155 0.01164280835764158 0.2540998303220032
156 0.009931349182579851 0.2397413958059149
157 0.008428954615751997 0.2262482832019716
158 0.007134605486609689 0.2136542337818835
159 0.006043337647811818 0.2019796574451817
160 0.005153080403260085 0.1912457483042175
161 0.004458322258397702 0.1814836428391755
162 0.003955284078098521 0.1727213621390526
163 0.00363976387341585 0.1649920023472544
164 0.0035040490177566 0.1583074122828696
165 0.003537353722035165 0.1526773223799341
166 0.003731396152567126 0.1481110706014369
167 0.004078095102887485 0.1446214553091127
168 0.004558237788013395 0.1421772450122904
169 0.005172465140023425 0.1408135685571246
170 0.005912329066790951 0.1405393666318578
171 0.006767612797500709 0.1413536861857761
172 0.007730405861173564 0.143254495735266
173 0.008790049295545315 0.1462178472438462
174 0.009940026424720406 0.1502528212699584
175 0.01117191796412085 0.1553447180011328
176 0.01247755023613677 0.1614782874735545
177 0.0138494833586789 0.1686327265258867
178 0.01528022836216022 0.1767895568693654
179 0.01676256111852042 0.185920342761056
180 0.01829065589288373 0.195996127333847
181 0.01985821057350892 0.2069861910914118
182 0.02145968055176949 0.2188537462716927
183 0.02308831226425337 0.2315578622234215
184 0.02473999489059218 0.2450476904715466
185 0.02641028131008665 0.2592854397692899
186 0.02809476113498532 0.2742181854980764
187 0.02978589226204001 0.2897861965185739
188 0.03149436479212085 0.3059864408143148
189 0.0332033413905997 0.3227120108626838
190 0.03491422514547693 0.3399181286813292
191 0.03661942506057882 0.3575275358754063
192 0.03831622491213543 0.3754737269322689
193 0.0400022529733635 0.3936670526070827
194 0.04167635085298344 0.4120703304101923
195 0.04332838502837495 0.4305859221626907
196 0.04496501104596625 0.4491797318695687
197 0.04658440946288958 0.4677838495985296
198 0.04818527762942146 0.4863324603889671
199 0.04976622456955423 0.5047600328786158
200 0.05132439188629234 0.5229966001204995
201 0.05285786482060908 0.5409780942156561
202 0.05436460203601996 0.5586387032081701
203 0.05584231403097059 0.5759135067656771
204 0.05728845703567059 0.5927431157579374
205 0.05870005342975745 0.6090660701526182
206 0.06007533116470273 0.6248267122641675
207 0.06141092360460874 0.6399674834402335
208 0.06270291542600773 0.6544397203090895
209 0.06394792209283165 0.6682101658803377
210 0.06514065153757487 0.6812099010766732
211 0.06627730275057785 0.693397485356052
212 0.06735348132664956 0.7047333040609461
213 0.06836330754880204 0.7151839635143706
214 0.06930217036199063 0.7247092182630325
215 0.07016725623578983 0.7332863301354038
216 0.07095261254561423 0.7408915868928422
217 0.07165578343829179 0.7475085967068942
218 0.0722725850839788 0.7531245047443527
219 0.07279844024387462 0.7577309342298292
220 0.07323021880203255 0.7613242768004597
221 0.07356356787779719 0.7639001897122431
222 0.07379527778958742 0.7654642104565684
223 0.07392094632638403 0.7660168890509752
224 0.07393934453935261 0.7655766284179851
225 0.07384753683255453 0.7641559825139079
226 0.07364462377463127 0.7617749961711881
227 0.07332867243217647 0.7584555052923993
228 0.07290070316047903 0.7542301789482556
229 0.07236070178761668 0.7491299614499166
230 0.07170951699617006 0.7431911646218915
231 0.07094825442869693 0.7364468834909396
232 0.07007879233127186 0.7289414767753347
233 0.06910254037168387 0.7207130968156539
234 0.06802429229827449 0.711811191753803
235 0.06684867996259547 0.7022842043505024
236 0.06557875633064844 0.6921818987306583
237 0.0642212247072818 0.6815604161807164
238 0.06278152855327197 0.6704694781932705
239 0.06126558711901051 0.6589656951333305
240 0.05968173758346292 0.647108811177437
241 0.05803585831276307 0.6349502701601603
242 0.05633590982664932 0.6225481314028024
243 0.05458933475855583 0.6099608979666674
244 0.05280472136378793 0.5972463766307056
245 0.05099018773468073 0.5844602302064321
246 0.04915390894248446 0.5716579687269809
247 0.0473050438724071 0.5588943977634808
248 0.0454520584688493 0.5462246260485868
249 0.04360102049856332 0.5336913562447898
250 0.04176208321500466 0.5213553442263462
251 0.03994191919498458 0.509258214283834
252 0.03815114981504566 0.4974528831914951
253 0.03639400550482037 0.4859706397716615
254 0.03468226494327297 0.4748736588937372
255 0.03302372214052589 0.4642001614913853
256 0.03142468678874431 0.4539888051943888
257 0.02989117574832916 0.444271550505368
258 0.02843243787442665 0.4350921554063159
259 0.02705058265477347 0.4264675400205839
260 0.02575001140751257 0.4184213229407072
261 0.02453544193430924 0.4109739222784808
262 0.02341088594578242 0.4041457310451151
263 0.02237945507032644 0.3979532535806021
264 0.02144386572407383 0.3924092402154496
265 0.02060684441178869 0.3875259926586003
266 0.01987027795504444 0.3833089595388858
267 0.01923558757099507 0.3797665705762204
268 0.01870301718726692 0.3768960006666094
269 0.01827318070795519 0.37469968365372
270 0.0179458213324632 0.3731779164614685
271 0.01771986160232594 0.3723243419118061
272 0.01759415296517956 0.3721281710503505
273 0.01756673029153267 0.3725813448420332
274 0.01763639917178848 0.3736724594357384
275 0.01780094751432272 0.3753881520698568
276 0.01805783980388166 0.3777124803131691
277 0.01840269227616981 0.3806256404669603
278 0.01883392390860264 0.3841145224493684
279 0.01934736835055145 0.3881569485376382
280 0.01993900169293151 0.3927278985183318
281 0.02060485324566587 0.3978046208303384
282 0.02134045911338984 0.4033654633168728
283 0.02214156172031384 0.4093849085418065
284 0.02300392315474662 0.4158382163787728
285 0.02392261126048741 0.4226988522903546
286 0.02489344071337927 0.4299369161089862
287 0.0259118199106665 0.4375271829316524
288 0.02697210839913675 0.4454383056429108
289 0.02806963538955585 0.4536425915657454
290 0.02920011270331105 0.4621124865237816
291 0.03035806087286036 0.4708192130371765
292 0.03153896486731136 0.4797327732957876
293 0.03273788118800315 0.4888219411415529
294 0.03395044387648506 0.4980565695462031
295 0.0351725354653285 0.5074085914005412
296 0.03639873802095885 0.5168484227648228
297 0.03762479930487347 0.5263455797229694
298 0.03884583682787578 0.5358718160058011
299 0.04005841910357913 0.5453956407708296
300 0.04125791970311971 0.5548879980460222
301 0.04244067988777652 0.5643231391747541
302 0.04360288765861115 0.5736697441290739
303 0.04474068573579142 0.5829046492466936
304 0.04585086777260539 0.591999934503501
305 0.04692927706782081 0.6009278125524641
306 0.04797267673268957 0.6096648585680867
307 0.04897828086195103 0.6181838667752859
308 0.04994315256043674 0.6264617261355265
309 0.05086460578750418 0.6344790927060369
310 0.05173992727500811 0.6422137334160765
311 0.05256658923663117 0.6496425055671309
312 0.05334250652262847 0.6567452780940412
313 0.05406722415304238 0.6635087757913583
314 0.05473496930719794 0.6699032725749767
315 0.05534642229382315 0.6759197021203329
316 0.05590058032119604 0.681542262700148
317 0.05639587263195379 0.686756989130466
318 0.0568313441240978 0.6915537553838279
319 0.05720567549962972 0.6959193403072077
320 0.05751702973599023 0.6998433539518252
321 0.05776668475509288 0.7033230830639441
322 0.05795388579441003 0.7063501978036325
323 0.05807800837020606 0.7089163084547405
324 0.05814057962493381 0.7110221408690237
325 0.05814120963398234 0.7126654448809058
326 0.05808243490388883 0.7138499406166118
327 0.05796320272212797 0.7145735488353788
328 0.05778429932781672 0.7148388789510728
329 0.05754680824160388 0.7146507686332139
330 0.05725245086002812 0.7140170234425483
331 0.05690267519859487 0.7129464286967198
332 0.05649913801745371 0.7114479219154
333 0.05604355767678327 0.7095353862718238
334 0.05553829532264174 0.7072195269459435
335 0.05498605184765548 0.7045173109983837
336 0.05438833666038638 0.7014412770971196
337 0.05374835616899352 0.6980110227797622
338 0.05306866461210558 0.6942393682536904
339 0.05235191614387632 0.690146474302402
340 0.05160024123604233 0.6857509301598351
341 0.05081773916870434 0.681076389283522
342 0.05000679379886752 0.6761455070155154
343 0.04917070269018074 0.6709836161191872
344 0.04831229002779088 0.6656101766143009
345 0.04743522775406804 0.6600535466744555
346 0.04654231168463526 0.6543358352684638
347 0.04563745807324598 0.6484817784522787
348 0.04472409270840631 0.6425179651718566
349 0.04380505047717193 0.6364708794917761
350 0.04288448710352742 0.6303658820056537
351 0.0419646452754763 0.6242266162999702
352 0.04104961538508346 0.6180805281335614
353 0.04014218371042878 0.6119511515185089
354 0.03924561859751156 0.6058668190765768
355 0.0383631917927771 0.5998545714072255
356 0.03749750934150006 0.5939366227599372
357 0.03665212646240112 0.5881401204888764
358 0.03583023447555391 0.5824845373484573
359 0.03503444191323017 0.5769954113987025
360 0.03426678256761982 0.5716947566678947
361 0.03352991510012385 0.5666041487705306
362 0.0328257622548571 0.5617387156369286
363 0.0321570875879925 0.5571200519439267
364 0.03152621974306896 0.5527694095138621
365 0.03093426571410723 0.5486951866349742
366 0.0303834921669583 0.5449170622397641
367 0.02987529774440748 0.5414481565354391
368 0.02941126439519249 0.5383029273971711
369 0.02899240894758745 0.535493365965645
370 0.02862047709366841 0.5330324255390101
371 0.02829546130575632 0.5309231103085258
372 0.02801818110305082 0.5291732558909981
373 0.02778911776820923 0.5277868284541735
374 0.02760838008758604 0.5267680949402461
375 0.02747665627191021 0.5261204188524709
376 0.02739321250167614 0.5258441031368709
377 0.02735829884026659 0.5259364812413042
378 0.02737157412190971 0.5264006575073301
379 0.02743184771607894 0.5272310451598966
380 0.02753830073363752 0.5284234098989863
381 0.02769028184659718 0.5299708917459055
382 0.02788687963260007 0.5318678735610433
383 0.02812635562143773 0.5341025524477514
384 0.0284073078191579 0.5366655692480518
385 0.02872812570923834 0.539543569438997
386 0.02908701628970229 0.5427257783409423
387 0.0294826698096868 0.5462009534807436
388 0.0299127995692716 0.5499525880841587
389 0.0303756237287271 0.5539668990280252
390 0.03086857140146252 0.5582253256294285
391 0.03139023819720078 0.5627100277545003
392 0.03193695981890245 0.5674037073239562
393 0.03250749455866617 0.572294426540255
394 0.03309872872808774 0.5773590106363457
395 0.03370861957183293 0.5825778481083582
396 0.03433624418124291 0.5879385431594216
397 0.03497782505127203 0.5934172511169684
398 0.03563027661825475 0.5989915650133453
399 0.03629109199745582 0.6046412453544009
400 0.0369577492243484 0.6103480907339012
401 0.03762831246806396 0.6160911351912037
402 0.03829998008287714 0.6218517525308903
403 0.03896961614085372 0.62760786492331
404 0.03963398605378648 0.6333413412193409
405 0.04029173765563671 0.6390312031017433
406 0.04094157163999507 0.6446662875764649
407 0.04157966490690378 0.6502197524231715
408 0.04220376386116781 0.6556746470833562
409 0.04281151594859364 0.6610147691985232
410 0.04340078324150025 0.6662239054219737
411 0.04396950595062354 0.6712860794029236
412 0.04451595625290959 0.6761895535992718
413 0.04503809265498268 0.6809174402853589
414 0.04553374253102174 0.6854567881710036
