"report-file-0"
"Iteration" "drag etc.."
("Iteration" "drag" "lift")
1 0.7129399754797404 0.09996717690718035
2 0.7756651041127873 -0.131564138539148
3 0.8541490939083338 -0.4507151808427669
4 0.9308975421077413 -0.7931030669715211
5 1.007195029440359 -1.120736124301695
6 1.074268571995926 -1.413024066852942
7 1.130506399297567 -1.660733947638158
8 1.176479396664968 -1.861675963675218
9 1.209604299651898 -2.016360900356699
10 1.227835043929518 -2.126796645869083
11 1.231378643278701 -2.198007490388065
12 1.221086242736915 -2.23520773437385
13 1.198524997219362 -2.243945380969098
14 1.165628186007499 -2.229699141051162
15 1.12424167501781 -2.196987007044831
16 1.076103627311319 -2.149929256494498
17 1.022973044171252 -2.09241330452543
18 0.9664206555963594 -2.02751697448939
19 0.9076289561267846 -1.957691037506861
20 0.8476841541199036 -1.884716352684553
21 0.7875749809621475 -1.810442490558438
22 0.7278056647756069 -1.735409065376282
23 0.6689743113703909 -1.660188456165874
24 0.6116937688543533 -1.585964890380719
25 0.5578930153271299 -1.517847220323759
26 0.5041977246150052 -1.444721278166621
27 0.453952298764488 -1.376247107001782
28 0.4046336198929046 -1.304155659598782
29 0.3577492974426424 -1.2326940084675
30 0.3133436247192029 -1.161658812883716
31 0.2714457686806345 -1.09091445658476
32 0.2320971276653107 -1.020278300139181
33 0.1952138691560957 -0.9495253213170776
34 0.1609762631555803 -0.8790132777700398
35 0.1291720458520236 -0.8084343004615081
36 0.09969959215283378 -0.7377735071577662
37 0.07241335154332673 -0.6669696998624651
38 0.04720682963229961 -0.5962033405224878
39 0.02392431673539565 -0.5256279338504896
40 0.002852320427857381 -0.4589912837943878
41 -0.01662521414639619 -0.3924589329024673
42 -0.03465929417330797 -0.3263240881590775
43 -0.05137373426187849 -0.2607981080083413
44 -0.06686268839966467 -0.1961773852610561
45 -0.08117134382649741 -0.1327776741862181
46 -0.0943136839201168 -0.07101717746941726
47 -0.1064776738321435 -0.01110988079582441
48 -0.1177367056145909 0.04672108115355082
49 -0.1280862646390419 0.1019996352881049
50 -0.1375650250982344 0.1544602371175368
51 -0.1462420676796805 0.2039018366802584
52 -0.1540938490150161 0.249945306851349
53 -0.1611069360394137 0.2923414853477011
54 -0.1672622611988147 0.33082254404453
55 -0.1725164253890352 0.3651779426835186
56 -0.1768209642700937 0.3951478581931147
57 -0.180161757275466 0.4206382762609822
58 -0.1825873826379043 0.4417093630840759
59 -0.1840949258354546 0.4583643813966399
60 -0.1846312754374436 0.4704661925482593
61 -0.1842105864274047 0.4780986359634866
62 -0.1828490754399693 0.4813128698691326
63 -0.1805524973017106 0.4802467151072748
64 -0.1772842277818335 0.4748608822237286
65 -0.1730238307982585 0.4652019364374528
66 -0.1678204951819226 0.4515054738551648
67 -0.1617377409437276 0.4340408720783703
68 -0.1547903182402915 0.4129281016247682
69 -0.1469879485265462 0.3882889914301863
70 -0.1383813469102145 0.3603510547414109
71 -0.1289933780776595 0.3292887177111708
72 -0.1188994428769414 0.2953277723258059
73 -0.1081272270986249 0.2586658788305535
74 -0.09671888259912484 0.2195686683120322
75 -0.08474876869204205 0.1782331748258317
76 -0.07225862187238062 0.1348357134819524
77 -0.05934502836371313 0.08970883292420907
78 -0.04608936354892594 0.04314124757461323
79 -0.03261149391144701 -0.004526394354889651
80 -0.01891656617124103 -0.05316525060705494
81 -0.005073705190752864 -0.1025185113053403
82 0.008861826405911584 -0.152354026711096
83 0.02279365593535054 -0.2023318930108394
84 0.03668462243867034 -0.252283344423027
85 0.05051045933643463 -0.301994818809311
86 0.06418184789212147 -0.3512375097069077
87 0.07759857851896075 -0.3996827272328936
88 0.09074615050246097 -0.4471371310297543
89 0.1035928343435474 -0.4934511031606084
90 0.1160937709943237 -0.538428855791532
91 0.1282413097143297 -0.581945801938499
92 0.1399897197757681 -0.6238211282812036
93 0.1513237919249102 -0.6639361243419855
94 0.1622359973415537 -0.7021873478901054
95 0.1727110423397859 -0.7384795044019933
96 0.1827276500355494 -0.7727174122661551
97 0.1923124272135846 -0.8049044439013169
98 0.2014110763447252 -0.8348814644142036
99 0.2100388914957472 -0.8626516710960032
100 0.2181772930339084 -0.8881448768526049
101 0.2258260685027472 -0.9113860982991354
102 0.232977690586802 -0.932362857895762
103 0.2396258662380207 -0.9510911117204385
104 0.2457676761988606 -0.9675906173592636
105 0.2513948372129601 -0.9818840336695925
106 0.2565034793225758 -0.9940184420120366
107 0.2610957036306411 -1.004044020605159
108 0.2651449548283945 -1.01197651762593
109 0.2686579303187801 -1.017897376983056
110 0.2716119761486935 -1.021839809059327
111 0.2740177290200098 -1.023901232670002
112 0.2758837506166451 -1.024180362594735
113 0.2771973300768072 -1.022726912100476
114 0.2779710469251809 -1.019660992741728
115 0.2781788174758751 -1.015024139056523
116 0.2778373540341847 -1.00892255372673
117 0.2769734174079265 -1.001492959917328
118 0.2755684881672747 -0.99278771555975
119 0.2736373449561246 -0.9828951052027088
120 0.2711913868494078 -0.9719067094076512
121 0.268238866446224 -0.9599111169424004
122 0.2647870444192949 -0.9469758670499798
123 0.2608667647503519 -0.9332343990895223
124 0.2565152197738652 -0.9188052114189319
125 0.2517402415207509 -0.9037504906577037
126 0.246546283959146 -0.8881344154497323
127 0.2409798748402736 -0.8720733352822148
128 0.2350770315321505 -0.8556713517559288
129 0.228856047271373 -0.8389904906484678
130 0.2223652141175882 -0.8221492301133131
131 0.2156321580621751 -0.8052129955687801
132 0.2086695035372896 -0.7882158610537695
133 0.2015330444255593 -0.771267482551904
134 0.1942505537225813 -0.7544362514909817
135 0.1868541286785879 -0.7377823078550622
136 0.1793926845959705 -0.7213831957290741
137 0.1719001064190072 -0.7053085548525522
