"report-file-0"
"Iteration" "drag_NACA0012_AOA20_journal etc.."
("Iteration" "drag_NACA0012_AOA20_journal" "lift_NACA0012_AOA20_journal")
1 2.674904990581539 3.897071970197617
2 3.535510756522879 5.83217085727325
3 4.236861193692688 7.427650959664541
4 4.660010142414124 8.484364610850227
5 4.89648762312415 9.162823206052892
6 5.00567144900164 9.561416667275262
7 5.006996037002174 9.720458073046064
8 4.859506695140032 9.549133119560615
9 4.566391381395922 9.076741210195111
10 4.204989057136811 8.472769880661558
11 3.849353208252921 7.874879557828044
12 3.545948284944782 7.372504922033311
13 3.306960008161367 6.987471525003415
14 3.125225774065397 6.707941570913374
15 2.981216819146998 6.496172417326513
16 2.909487208233598 6.425074111626153
17 2.805715235871576 6.288170150416147
18 2.664019007012888 6.074472204007338
19 2.50406727974831 5.818245879195349
20 2.33693814423793 5.538307937820309
21 2.165330289664978 5.237631732514165
22 1.991970689590345 4.923060496087658
23 1.822404560785743 4.608892075870762
24 1.656489578660852 4.29158736435824
25 1.496990386260908 3.979660298057096
26 1.345803737014492 3.677176186338057
27 1.202851216845343 3.383673952041206
28 1.068377233591508 3.10062867190855
29 0.9419914142893855 2.828138464467709
30 0.8240226712928013 2.56732179161173
31 0.7136405482745802 2.317419089113361
32 0.6106591062873145 2.078726915312301
33 0.5147604940631754 1.85144795343713
34 0.4256656670936846 1.635720480970959
35 0.3426803562627996 1.43077087341693
36 0.2659624505613648 1.237375181608957
37 0.1953948026074757 1.055692661755049
38 0.1305843443715131 0.8853953216876941
39 0.07168844039919045 0.7270172324062462
40 0.01804680027757449 0.5794933488817522
41 -0.03089452966838808 0.4418264929218109
42 -0.07514660748387729 0.314137916138155
43 -0.1149377053845942 0.1960713865516067
44 -0.1504660163385628 0.08732637738744685
45 -0.1820505805162402 -0.01277600362739219
46 -0.2100427372007818 -0.1049863112054868
47 -0.2347894128988058 -0.1900341185689153
48 -0.2565581578938962 -0.2684686345017081
49 -0.2756133412454905 -0.3407030058872712
50 -0.2924213096785482 -0.4080363596006959
51 -0.3071258644978633 -0.4704718472636097
52 -0.3202744789780421 -0.5292237966929113
53 -0.3311046686542538 -0.5825583228838769
54 -0.3408510020167959 -0.6335600975529278
55 -0.3484938844353181 -0.6790783602703837
56 -0.3553946677405189 -0.7231431544733904
57 -0.3609183353765001 -0.763631676841712
58 -0.3651030678705756 -0.8005188936308888
59 -0.3679204596529285 -0.8336717021550854
60 -0.3695420744740325 -0.8633374777241291
61 -0.3699299508057742 -0.8893304238015405
62 -0.3690818247954365 -0.9114277641810602
63 -0.3669540938204732 -0.929254645479067
64 -0.3636026768474006 -0.9429335471234078
65 -0.3589485739758416 -0.9521699396585754
66 -0.3530569481298686 -0.9569143661521486
67 -0.3459304193559732 -0.9570835452998664
68 -0.337566862204881 -0.9524807133097345
69 -0.3279479148196658 -0.9430631475334173
70 -0.3170555168282267 -0.9286629885449257
71 -0.3048511614921852 -0.9091435419150991
72 -0.2913923846623396 -0.8845242143179251
73 -0.2767002597565407 -0.8548494332250086
74 -0.2607620364206901 -0.8200641235209288
75 -0.2436080247211944 -0.7802313722187804
76 -0.2252509100256655 -0.7353713999120168
77 -0.2057477613162478 -0.6856134481757693
78 -0.1851883261223611 -0.6311909071621188
79 -0.1635936594879088 -0.572187936473925
80 -0.1410137298322293 -0.5087488493999687
81 -0.1175396080918973 -0.4411460872474375
82 -0.0932738463804717 -0.3696692841820352
83 -0.06830805580015101 -0.2945982284217218
84 -0.04274717103579384 -0.216252448337486
85 -0.01669437173034846 -0.1349507754900727
86 0.009727098686768914 -0.05107409303976269
87 0.03639341124535268 0.03499589136949968
88 0.06320017330656959 0.1228954521534519
89 0.09000178485543789 0.2121926090682992
90 0.1166644270121243 0.3024800686056459
91 0.1430507895750707 0.3932871431093336
92 0.1690568387828966 0.4842203028581159
93 0.1945748462540857 0.5748811417794633
94 0.2194925263397569 0.6648353711672282
95 0.2436692160709273 0.7535804190171853
96 0.2670357504876325 0.8407752413348367
97 0.2896094263903218 0.926236554082354
98 0.3112481339369667 1.009467312296683
99 0.3319244636967404 1.090183412237326
100 0.3515156606380089 1.167954515521253
101 0.370034244101178 1.24254665046439
102 0.3875098794240913 1.313814712243153
103 0.4038237441896846 1.381312401538288
104 0.4190218261305699 1.444928847973402
105 0.4330894634048062 1.504470372446596
